
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50507  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50508  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50509  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50510  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50531  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50532  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50533  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50534  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50535  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50536  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50537  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50538  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50539  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50540  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50541  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50542  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50543  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50544  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50545  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50546  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50547  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50548  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50549  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50550  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50551  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50552  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50554  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50555  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50556  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50557  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50558  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50559  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50560  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50561  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50562  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50563  [2804:a8:1000:95::c91e:8188]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50564  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50565  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50566  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50567  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50568  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50569  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50571  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50572  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50573  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50574  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50575  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50576  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50581  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50582  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50585  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50586  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50587  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50592  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50593  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50594  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50596  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50597  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50598  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50601  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50602  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50603  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50604  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50605  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50606  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50607  [2606:4700:10::ac43:1fd1]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50608  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50609  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50610  [2620:1ec:c11::237]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50611  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50612  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50613  [2804:14d:1:0:181:213:132:2]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50615  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50616  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50617  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50619  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50620  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50621  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50622  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50623  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50624  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50626  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50627  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50628  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50629  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50630  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50631  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50632  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50633  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50634  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50636  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50637  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50638  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50639  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50640  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50641  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50642  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50643  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50644  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50645  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50646  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50647  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:59309  [2603:1030:210:f::]:443  ESTABLISHED     12312
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:61035  [2800:3f0:4003:c03::bc]:5228  ESTABLISHED     9644
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:63306  [2603:1030:210:f::]:443  ESTABLISHED     3400
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64167  [2600:1419:3600:8::17d4:bf49]:443  CLOSE_WAIT      7724
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64168  [2603:1056:c01:1006::2]:443  ESTABLISHED     7724
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64170  [2001:489a:3604::7c0]:443  CLOSE_WAIT      7724
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64171  [2620:1ec:46::254]:443  CLOSE_WAIT      7724
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64550  [2a03:2880:f27c:1cd:face:b00c:0:167]:5222  ESTABLISHED     9644
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64708  [2606:4700:10::6816:2b80]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:64720  [2606:4700:10::ac43:1fd1]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:65295  [2606:4700::6812:ac24]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:65299  [2620:1ec:c11::239]:443  ESTABLISHED     9264
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:65313  [2a04:4e42:2a::729]:443  TIME_WAIT       0
  UDP    0.0.0.0:53             *:*                                    4572
  UDP    0.0.0.0:5050           *:*                                    6324
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    9264
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    7696
  UDP    0.0.0.0:5353           *:*                                    2668
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5353           *:*                                    7640
  UDP    0.0.0.0:5355           *:*                                    2668
  UDP    0.0.0.0:50534          *:*                                    9264
  UDP    0.0.0.0:50990          *:*                                    4572
  UDP    0.0.0.0:50991          *:*                                    4572
  UDP    0.0.0.0:51461          *:*                                    9264
  UDP    0.0.0.0:53883          *:*                                    9264
  UDP    0.0.0.0:55913          *:*                                    9644
  UDP    0.0.0.0:59202          *:*                                    9264
  UDP    0.0.0.0:65416          *:*                                    9644
  UDP    127.0.0.1:1900         *:*                                    9192
  UDP    127.0.0.1:12011        *:*                                    3644
  UDP    127.0.0.1:50787        *:*                                    3980
  UDP    127.0.0.1:50983        *:*                                    9192
  UDP    172.26.240.1:137       *:*                                    4
  UDP    172.26.240.1:138       *:*                                    4
  UDP    172.26.240.1:1900      *:*                                    9192
  UDP    172.26.240.1:50980     *:*                                    9192
  UDP    192.168.0.3:137        *:*                                    4
  UDP    192.168.0.3:138        *:*                                    4
  UDP    192.168.0.3:1900       *:*                                    9192
  UDP    192.168.0.3:50982      *:*                                    9192
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    9192
  UDP    192.168.56.1:50981     *:*                                    9192
  UDP    [::]:5353              *:*                                    7696
  UDP    [::]:5353              *:*                                    9264
  UDP    [::]:5353              *:*                                    7640
  UDP    [::]:5353              *:*                                    7640
  UDP    [::]:5353              *:*                                    7696
  UDP    [::]:5353              *:*                                    9264
  UDP    [::]:5353              *:*                                    9264
  UDP    [::]:5353              *:*                                    7696
  UDP    [::]:5353              *:*                                    7640
  UDP    [::]:5353              *:*                                    2668
  UDP    [::]:5355              *:*                                    2668
  UDP    [::]:50534             *:*                                    9264
  UDP    [::]:50992             *:*                                    4572
  UDP    [::]:51461             *:*                                    9264
  UDP    [::]:53883             *:*                                    9264
  UDP    [::]:55913             *:*                                    9644
  UDP    [::]:59202             *:*                                    9264
  UDP    [::]:65416             *:*                                    9644
  UDP    [::1]:1900             *:*                                    9192
  UDP    [::1]:50979            *:*                                    9192
  UDP    [fe80::6b6:e12b:6917:8f92%35]:1900  *:*                                    9192
  UDP    [fe80::6b6:e12b:6917:8f92%35]:50976  *:*                                    9192
  UDP    [fe80::c677:8216:d794:7b66%5]:1900  *:*                                    9192
  UDP    [fe80::c677:8216:d794:7b66%5]:50977  *:*                                    9192
  UDP    [fe80::f909:d83f:d157:e3c0%7]:1900  *:*                                    9192
  UDP    [fe80::f909:d83f:d157:e3c0%7]:50978  *:*                                    9192
